Fuente: SENAMHI / DRD * Datos sin control de calidad. * El uso de estos datos será de entera responsabilidad del usuario.,Leyenda: * S/D = Sin Datos. * T = Trazas (Precipitación < 0.1 mm/día).
Estación : MAGUNCHAL
Departamento :,AMAZONAS,Provincia :,UTCUBAMBA,Distrito :,JAMALCA
Latitud :,5°53'25.36'',Longitud :,78°11'20.83'',Altitud :,632 msnm.
Tipo :,PLU - Meteorológica,Código :,105046
AÑO / MES / DÍA,TEMPERATURA (°C),HUMEDAD RELATIVA (%),PRECIPITACIÓN (mm/día)
MAX,MIN,TOTAL
2022-01-01,,,,S/D
2022-01-02,,,,S/D
2022-01-03,,,,S/D
2022-01-04,,,,S/D
2022-01-05,,,,S/D
2022-01-06,,,,S/D
2022-01-07,,,,0.0
2022-01-08,,,,0.0
2022-01-09,,,,0.0
2022-01-10,,,,0.0
2022-01-11,,,,0.0
2022-01-12,,,,0.0
2022-01-13,,,,6.5
2022-01-14,,,,0.0
2022-01-15,,,,0.0
2022-01-16,,,,3.8
2022-01-17,,,,0.0
2022-01-18,,,,0.0
2022-01-19,,,,0.0
2022-01-20,,,,1.0
2022-01-21,,,,0.0
2022-01-22,,,,0.0
2022-01-23,,,,0.0
2022-01-24,,,,5.9
2022-01-25,,,,14.7
2022-01-26,,,,11.7
2022-01-27,,,,2.4
2022-01-28,,,,0.0
2022-01-29,,,,0.0
2022-01-30,,,,0.0
2022-01-31,,,,0.0
2022-02-01,,,,0.0
